Name,Owner ID,Channel ID,Role ID
ChatGPT,813790398015209492,1050194228849934417,1050194224412377108
Javascript Enthusiasts,658650587679948820,1038141018173886595,1038141015510503444
cnnd appreciation group,512533167794814978,1038239926199779419,1038239922806587392
Game Developers,770728067550150708,1038272547428515870,1038272542391140423
Frameworks Club!,872059751356313650,1038221949660303360,1038219330401357894
Web Development,,1038812893535281163,1038812886136541226
Themes,744921397582888991,1040425656237953054,1040425652224004107
G'day bot,626618189450838027,1042926250450235492,1042926247132540998
Replit Reps Events,915670836357247006,1038519454293819453,1038519449633960007
Team Academia,379323214087585814,1038139110390513744,1038139104967262239
rust club,755109838060519538,1038134900706005142,1038133760052428881
Ruby Appreciation Society,691576874261807134,1038135105086050414,1038135101306982470
The Anime Club,803404128600195133,1041437235242877009,1041437230616563812
Python nerds,790232461052608554,1038142054171148378,1038142050207543297
Zwack Appreciation,975920435432661052,1038163908856385597,1038163877663350884
Discord Bots,858804475845017660,1038169498664058958,1038169494532673566
golang gophers,543384567797776384,1038221646995148942,1038199682041643120
Team Brawley,785783071244025867,1038813053493448765,1038813049194299444
Doctor Who,359017688867012628,1038929991645270137,1038929986494677013
Gaming Club,741090611842646139,1038903730902401135,1038903725969915964
Football,747886421183955034,1044417914943574048,1044417910103343276
ReplIRC,1023093873821634570,1041436961283514470,1041436954413256714
coding newbies,698676679517798522,1039192960052502548,1039192954935451728
Furrets!,636701123620634653,1061486046635884564,1061486039400714360
Deutsch Club,658650587679948820,1043911297898659882,1043911293154902026
starboard,626618189450838027,1065083662300872704,1065083656781176972
Replit Ask gang,872059751356313650,1074826013269295124,1074826007116267530
css appreciation group,711455782746587197,1039193138675318805,1039193130752295003
chill teen devs middle/high sc,,1039277602197745744,1039277594257924157
Minecraft REPL_CRAFT,730598410096214098,1039370670494187632,1039370666698346547
Discord Testers Hideout,908563963392958464,1039559818421219398,1039559813992038471
Da Software devs,959215890321260545,1039560012541997086,1039560005529108572
HTTP Requests Club,799074792816771072,1039990427031437332,1039990420970676354
"ExpressJS - Share, talk, get h",784141856426033233,1041385927873925271,1041385923855781908
Discord Bot Developers,1008527464877785158,1041386071256215604,1041386066965450842
IFDoop Coders,879580501323698176,1043648877900857375,1043648873186459740
C/C++ club,842121381549309992,1044093755252277299,1044093748814032896
Mathematics Masterminds,962284969542164550,1045755653374877736,1045755648962478100
N4X,,1050194480592072734,1050194473495302214
Replit AI,,1050194602885394544,1050194595549556916
Prxl,822562547814891592,1051890203717021787,1051890197543014470
Chess,860891878077890561,1066776970291069018,1066776963097829526
Conlangs,,1074825671093796864,1074825665695711283
Node Club,,1074825845576843345,1074825835573416026
Totally Legitimate Club,915670836357247006,1192523103490801747,1182390311994003467